statement_job_id,parent_job_id,statement_type,start_time,end_time,duration_sec,total_bytes_processed,total_bytes_billed,total_slot_ms,error_message
acme-analytics-prod:EU.job_20260601020836_000014_88016c,acme-analytics-prod:EU.job_20260601020836_000013_799736,CREATE_TABLE_AS_SELECT,2026-06-01 02:08:36,2026-06-01 02:08:40,4,30948727783,30949769216,51282,
acme-analytics-prod:EU.job_20260601020840_000015_0bfe39,acme-analytics-prod:EU.job_20260601020836_000013_799736,MERGE,2026-06-01 02:08:40,2026-06-01 02:08:45,5,4678296060,4678746112,17438,
acme-analytics-prod:EU.job_20260601020845_000016_d84470,acme-analytics-prod:EU.job_20260601020836_000013_799736,DROP_TABLE,2026-06-01 02:08:45,2026-06-01 02:08:49,4,0,10485760,50775,
acme-analytics-prod:EU.job_20260601020845_000019_3a9562,acme-analytics-prod:EU.job_20260601020845_000018_763de8,CREATE_TABLE_AS_SELECT,2026-06-01 02:08:45,2026-06-01 02:08:57,13,112558819636,112559390720,72511,
acme-analytics-prod:EU.job_20260601020857_000020_79d9b6,acme-analytics-prod:EU.job_20260601020845_000018_763de8,MERGE,2026-06-01 02:08:57,2026-06-01 02:09:06,8,17014705293,17015242752,106334,
acme-analytics-prod:EU.job_20260601020906_000021_853b12,acme-analytics-prod:EU.job_20260601020845_000018_763de8,DROP_TABLE,2026-06-01 02:09:06,2026-06-01 02:09:13,7,0,10485760,32730,
acme-analytics-prod:EU.job_20260601020852_000025_9b9bc6,acme-analytics-prod:EU.job_20260601020852_000024_de528e,CREATE_TABLE_AS_SELECT,2026-06-01 02:08:52,2026-06-01 02:09:06,14,219702583371,219702886400,280935,
acme-analytics-prod:EU.job_20260601020906_000026_a018c6,acme-analytics-prod:EU.job_20260601020852_000024_de528e,MERGE,2026-06-01 02:09:06,2026-06-01 02:09:13,6,33210855625,33211547648,42979,
acme-analytics-prod:EU.job_20260601020913_000027_768219,acme-analytics-prod:EU.job_20260601020852_000024_de528e,DROP_TABLE,2026-06-01 02:09:13,2026-06-01 02:09:21,8,0,10485760,73248,
acme-analytics-prod:EU.job_20260601021039_000029_ceceff,acme-analytics-prod:EU.job_20260601021039_000028_b31f53,CREATE_TABLE_AS_SELECT,2026-06-01 02:10:39,2026-06-01 02:10:41,2,16345719360,16346251264,11080,
acme-analytics-prod:EU.job_20260601021041_000030_dafb06,acme-analytics-prod:EU.job_20260601021039_000028_b31f53,MERGE,2026-06-01 02:10:41,2026-06-01 02:10:41,1,2470864554,2471493632,4021,
acme-analytics-prod:EU.job_20260601021041_000031_a4f722,acme-analytics-prod:EU.job_20260601021039_000028_b31f53,DROP_TABLE,2026-06-01 02:10:41,2026-06-01 02:10:43,1,0,10485760,7776,
acme-analytics-prod:EU.job_20260602021237_000153_5441c5,acme-analytics-prod:EU.job_20260602021237_000152_9b6aec,CREATE_TABLE_AS_SELECT,2026-06-02 02:12:37,2026-06-02 02:12:41,4,34180579798,34181480448,76871,
acme-analytics-prod:EU.job_20260602021241_000154_ef80fa,acme-analytics-prod:EU.job_20260602021237_000152_9b6aec,MERGE,2026-06-02 02:12:41,2026-06-02 02:12:45,4,5166831830,5167382528,54833,
acme-analytics-prod:EU.job_20260602021245_000155_d2dddc,acme-analytics-prod:EU.job_20260602021237_000152_9b6aec,DROP_TABLE,2026-06-02 02:12:45,2026-06-02 02:12:49,4,0,10485760,84287,
acme-analytics-prod:EU.job_20260602021246_000157_fb32ad,acme-analytics-prod:EU.job_20260602021246_000156_6066db,CREATE_TABLE_AS_SELECT,2026-06-02 02:12:46,2026-06-02 02:12:49,3,133619115488,133620039680,30901,
acme-analytics-prod:EU.job_20260602021249_000158_33864d,acme-analytics-prod:EU.job_20260602021246_000156_6066db,MERGE,2026-06-02 02:12:49,2026-06-02 02:12:54,5,20198238387,20198719488,32630,
acme-analytics-prod:EU.job_20260602021254_000159_c8d958,acme-analytics-prod:EU.job_20260602021246_000156_6066db,DROP_TABLE,2026-06-02 02:12:54,2026-06-02 02:12:57,3,0,10485760,16074,
