node_id,tag
model.acme_warehouse.stg_orders,staging
model.acme_warehouse.stg_customers,staging
model.acme_warehouse.stg_sessions,staging
model.acme_warehouse.stg_impressions,staging
model.acme_warehouse.stg_spend,staging
model.acme_warehouse.stg_products,staging
model.acme_warehouse.stg_campaigns,staging
model.acme_warehouse.stg_exchange_rates,staging
model.acme_warehouse.int_sessions_enriched,warehouse
model.acme_warehouse.int_order_items,warehouse
model.acme_warehouse.dim_customer,warehouse
model.acme_warehouse.dim_product,warehouse
model.acme_warehouse.dim_campaign,warehouse
model.acme_warehouse.dim_date,warehouse
model.acme_warehouse.fct_orders,warehouse
model.acme_warehouse.fct_orders,critical
model.acme_warehouse.fct_sessions,warehouse
model.acme_warehouse.fct_sessions,critical
model.acme_warehouse.fct_impressions,warehouse
model.acme_warehouse.fct_impressions,critical
model.acme_warehouse.fct_spend,warehouse
model.acme_warehouse.fct_attribution,warehouse
model.acme_warehouse.fct_attribution,critical
model.acme_warehouse.mart_revenue_daily,marts
model.acme_warehouse.mart_channel_perf,marts
model.acme_warehouse.mart_customer_ltv,marts
model.acme_warehouse.mart_campaign_roi,marts
model.acme_warehouse.mart_funnel,marts
model.acme_warehouse.mart_cohorts,marts
model.acme_warehouse.mart_cohorts,expensive
snapshot.acme_warehouse.snap_customer_tier,snapshot
snapshot.acme_warehouse.snap_product_price,snapshot
