node_id,model_name,alias,layer,sublayer,materialization,schema_name,database_name,package_name,path,checksum,tags,meta,upstream_count
model.acme_warehouse.stg_orders,stg_orders,stg_orders,staging,raw,view,analytics,acme-analytics-prod,acme_warehouse,models/staging/raw/stg_orders.sql,sha256:stg_orde,staging,{},1
model.acme_warehouse.stg_customers,stg_customers,stg_customers,staging,raw,view,analytics,acme-analytics-prod,acme_warehouse,models/staging/raw/stg_customers.sql,sha256:stg_cust,staging,{},1
model.acme_warehouse.stg_sessions,stg_sessions,stg_sessions,staging,raw,view,analytics,acme-analytics-prod,acme_warehouse,models/staging/raw/stg_sessions.sql,sha256:stg_sess,staging,{},1
model.acme_warehouse.stg_impressions,stg_impressions,stg_impressions,staging,raw,view,analytics,acme-analytics-prod,acme_warehouse,models/staging/raw/stg_impressions.sql,sha256:stg_impr,staging,{},1
model.acme_warehouse.stg_spend,stg_spend,stg_spend,staging,raw,view,analytics,acme-analytics-prod,acme_warehouse,models/staging/raw/stg_spend.sql,sha256:stg_spen,staging,{},1
model.acme_warehouse.stg_products,stg_products,stg_products,staging,raw,view,analytics,acme-analytics-prod,acme_warehouse,models/staging/raw/stg_products.sql,sha256:stg_prod,staging,{},1
model.acme_warehouse.stg_campaigns,stg_campaigns,stg_campaigns,staging,raw,view,analytics,acme-analytics-prod,acme_warehouse,models/staging/raw/stg_campaigns.sql,sha256:stg_camp,staging,{},1
model.acme_warehouse.stg_exchange_rates,stg_exchange_rates,stg_exchange_rates,staging,raw,view,analytics,acme-analytics-prod,acme_warehouse,models/staging/raw/stg_exchange_rates.sql,sha256:stg_exch,staging,{},1
model.acme_warehouse.int_sessions_enriched,int_sessions_enriched,int_sessions_enriched,warehouse,intermediate,ephemeral,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/intermediate/int_sessions_enriched.sql,sha256:int_sess,warehouse,{},2
model.acme_warehouse.int_order_items,int_order_items,int_order_items,warehouse,intermediate,ephemeral,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/intermediate/int_order_items.sql,sha256:int_orde,warehouse,{},2
model.acme_warehouse.dim_customer,dim_customer,dim_customer,warehouse,dimension,table,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/dimension/dim_customer.sql,sha256:dim_cust,warehouse,{},2
model.acme_warehouse.dim_product,dim_product,dim_product,warehouse,dimension,table,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/dimension/dim_product.sql,sha256:dim_prod,warehouse,{},1
model.acme_warehouse.dim_campaign,dim_campaign,dim_campaign,warehouse,dimension,table,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/dimension/dim_campaign.sql,sha256:dim_camp,warehouse,{},1
model.acme_warehouse.dim_date,dim_date,dim_date,warehouse,dimension,table,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/dimension/dim_date.sql,sha256:dim_date,warehouse,{},0
model.acme_warehouse.fct_orders,fct_orders,fct_orders,warehouse,fact,incremental,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/fact/fct_orders.sql,sha256:fct_orde,"warehouse, critical",{},3
